CHICKEN SEEKH KEBAB,90,NA,Food,False,NA,10,Tasty Bites
1 Donut + 1 Drink of Choice,200,NA,Food,True,NA,9,The Brew Company
2 Donuts+1 Fries + 1 Drink,350,NA,Food,True,NA,9,The Brew Company
3 Donuts + 2 Fries + 1 Drink,500,NA,Food,True,NA,9,The Brew Company
3 Donuts + 1 Free,240,NA,Food,True,NA,9,The Brew Company
3 Donuts + 1 Virgin Mojito,240,NA,Food,True,NA,9,The Brew Company
Dairy Milk Shake,150,NA,Food,,NA,2,Goosebumps
Nuttela Bubble Waffle,200,NA,Food,,NA,2,Goosebumps
White Chocolate Waffle,200,NA,Food,,NA,2,Goosebumps
Mango Shake,100,NA,Food,,NA,2,Goosebumps
Caramel Shake,120,NA,Food,,NA,2,Goosebumps
Red Velvet Waffle,200,NA,Food,,NA,2,Goosebumps
Chicken Denominator + Choco Lava(Free),820,MED BURST,Food,False,NA,3,Domino's Pizza
Chicken Denominator + Chicken Wings(Free),820,MED BURST,Food,False,NA,3,Domino's Pizza
Chicken Denominator + Chicken Meat Ball(Free),820,MED BURST,Food,False,NA,3,Domino's Pizza
ENGLISH CHEESE ROLLS,200,NA,Food,True,NA,11,Kaathi Junction
BROWNIE SHAKES,100,NA,Food,,NA,2,Goosebumps
PERI PERI NUGGETS,180,NA,Food,False,NA,4,Burger Farm
OREO SHAKE,150,NA,Food,,NA,4,Burger Farm
STRAWBERRY SHAKE,150,NA,Food,,NA,4,Burger Farm
MUTTON KEEMA ROLL,270,NA,Food,False,NA,11,Kaathi Junction
SINGLE EGG ROLL,30,NA,Food,False,NA,11,Kaathi Junction
DOUBLE EGG ROLL,50,NA,Food,False,NA,11,Kaathi Junction
PERI PERI CHICKEN,500,MEDIUM,Food,False,NA,3,Domino's Pizza
CHICKEN DOMINATOR,820,MED BURST,Food,False,NA,3,Domino's Pizza
Cappuccino,120,NA,Food,,NA,5,Cafe Coffee Day
Flavoured Cappuccino,140,NA,Food,,NA,5,Cafe Coffee Day
Cafe Latte,150,NA,Food,,NA,5,Cafe Coffee Day
Cafe Americano,130,NA,Food,,NA,5,Cafe Coffee Day
Aztec Cappuccino,170,NA,Food,,NA,5,Cafe Coffee Day
Ethopian Cappuccino,170,NA,Food,,NA,5,Cafe Coffee Day
Hot Gourmet Cocoa,140,NA,Food,,NA,5,Cafe Coffee Day
Cold Cocoa Latte,150,NA,Food,,NA,5,Cafe Coffee Day
Devil's Own,200,NA,Food,,NA,5,Cafe Coffee Day
Kappi Nirvana,210,NA,Food,,NA,5,Cafe Coffee Day
Tropical Ice Berg,140,NA,Food,,NA,5,Cafe Coffee Day
Cafe Frappe,150,NA,Food,,NA,5,Cafe Coffee Day
Dark Frappe,200,NA,Food,,NA,5,Cafe Coffee Day
Espresso,100,NA,Food,,NA,5,Cafe Coffee Day
Pomegranate Mojito,130,NA,Food,,NA,9,The Brew Company
Chicken Nagget,80,NA,Food,False,NA,10,Tasty Bites
CHICKEN FINGER,80,NA,Food,False,NA,10,Tasty Bites
Strawberry Donut,80,NA,Food,,NA,9,The Brew Company
2 Donuts + 1 Donut(Free),160,NA,Food,,NA,9,The Brew Company
COKE 750ml,40,NA,Food,,NA,13,Coca Cola
COKE CAN,35,NA,Food,,NA,13,Coca Cola
MINUTE MAID,22,NA,Food,,NA,13,Coca Cola
MAAZA 250ml,20,NA,Food,,NA,13,Coca Cola
MAAZA 600ml,35,NA,Food,,NA,13,Coca Cola
KINLEY,20,NA,Food,,NA,13,Coca Cola
MAAZA TETRAPACK150ml,10,NA,Food,,NA,13,Coca Cola
RED BULL,99,NA,Food,,NA,13,Coca Cola
EGG CHICKEN TIKKA ROLLS,230,NA,Food,False,NA,11,Kaathi Junction
VEGGIE CHEESE ROLLS,150,NA,Food,,NA,11,Kaathi Junction
EGG CHICKEN TIKKA CHEESE ROLLS,260,NA,Food,False,NA,11,Kaathi Junction
CHICKEN TIKKA CHEESE ROLLS,230,NA,Food,False,NA,11,Kaathi Junction
EGG CHICKEN ROLLS,240,NA,Food,False,NA,11,Kaathi Junction
PANEER CHEESE ROLLS,240,NA,Food,,NA,11,Kaathi Junction
PANEER TIKKA CHEESE ROLLS,260,NA,Food,,NA,11,Kaathi Junction
"Buy 3 Chicken Popcorn, and get 1 free",147,NA,Food,False,NA,10,Tasty Bites
EGG CHICKEN CHEESE ROLLS,280,NA,Food,False,NA,11,Kaathi Junction
Buy 3 Chicken sheekh kebab and get 1 free,270,NA,Food,False,NA,10,Tasty Bites
CHICKEN CHEESE ROLLS,240,NA,Food,False,NA,11,Kaathi Junction
CHICKEN TIKKA KEBAB 6PCS.,240,NA,Food,False,NA,11,Kaathi Junction
CHICKEN SEEKH KEBAB 6PCS.,250,NA,Food,False,NA,11,Kaathi Junction
CHICKEN TANDOORI HALF,220,NA,Food,False,NA,11,Kaathi Junction
DOUBLE CHEESE MARGHERITA,650,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
CHICKEN TANDOORI FULL,400,NA,Food,False,NA,11,Kaathi Junction
